WPI_Number,Month,Visit_Count,Main_Port_Name,LAT,LON
16010,2022-01,19,San Diego,32.716667,-117.183333
16010,2022-02,17,San Diego,32.716667,-117.183333
16010,2022-03,17,San Diego,32.716667,-117.183333
16010,2022-04,20,San Diego,32.716667,-117.183333
16010,2022-05,20,San Diego,32.716667,-117.183333
16010,2022-06,17,San Diego,32.716667,-117.183333
16010,2022-07,22,San Diego,32.716667,-117.183333
16010,2022-08,18,San Diego,32.716667,-117.183333
16010,2022-09,20,San Diego,32.716667,-117.183333
16010,2022-10,23,San Diego,32.716667,-117.183333
16010,2022-11,20,San Diego,32.716667,-117.183333
16010,2022-12,17,San Diego,32.716667,-117.183333
16070,2022-01,333,Long Beach,33.766667,-118.183333
16070,2022-02,288,Long Beach,33.766667,-118.183333
16070,2022-03,302,Long Beach,33.766667,-118.183333
16070,2022-04,288,Long Beach,33.766667,-118.183333
16070,2022-05,300,Long Beach,33.766667,-118.183333
16070,2022-06,261,Long Beach,33.766667,-118.183333
16070,2022-07,255,Long Beach,33.766667,-118.183333
16070,2022-08,237,Long Beach,33.766667,-118.183333
16070,2022-09,229,Long Beach,33.766667,-118.183333
16070,2022-10,234,Long Beach,33.766667,-118.183333
16070,2022-11,222,Long Beach,33.766667,-118.183333
16070,2022-12,219,Long Beach,33.766667,-118.183333
16080,2022-01,335,Los Angeles,33.75,-118.25
16080,2022-02,295,Los Angeles,33.75,-118.25
16080,2022-03,303,Los Angeles,33.75,-118.25
16080,2022-04,282,Los Angeles,33.75,-118.25
16080,2022-05,295,Los Angeles,33.75,-118.25
16080,2022-06,268,Los Angeles,33.75,-118.25
16080,2022-07,259,Los Angeles,33.75,-118.25
16080,2022-08,245,Los Angeles,33.75,-118.25
16080,2022-09,231,Los Angeles,33.75,-118.25
16080,2022-10,240,Los Angeles,33.75,-118.25
16080,2022-11,224,Los Angeles,33.75,-118.25
16080,2022-12,226,Los Angeles,33.75,-118.25
16300,2022-01,123,San Francisco,37.816667,-122.416667
16300,2022-02,112,San Francisco,37.816667,-122.416667
16300,2022-03,138,San Francisco,37.816667,-122.416667
16300,2022-04,119,San Francisco,37.816667,-122.416667
16300,2022-05,106,San Francisco,37.816667,-122.416667
16300,2022-06,112,San Francisco,37.816667,-122.416667
16300,2022-07,120,San Francisco,37.816667,-122.416667
16300,2022-08,117,San Francisco,37.816667,-122.416667
16300,2022-09,95,San Francisco,37.816667,-122.416667
16300,2022-10,112,San Francisco,37.816667,-122.416667
16300,2022-11,89,San Francisco,37.816667,-122.416667
16300,2022-12,115,San Francisco,37.816667,-122.416667
16340,2022-01,123,Oakland,37.816667,-122.333333
16340,2022-02,111,Oakland,37.816667,-122.333333
16340,2022-03,136,Oakland,37.816667,-122.333333
16340,2022-04,119,Oakland,37.816667,-122.333333
16340,2022-05,105,Oakland,37.816667,-122.333333
16340,2022-06,110,Oakland,37.816667,-122.333333
16340,2022-07,120,Oakland,37.816667,-122.333333
16340,2022-08,117,Oakland,37.816667,-122.333333
16340,2022-09,95,Oakland,37.816667,-122.333333
16340,2022-10,111,Oakland,37.816667,-122.333333
16340,2022-11,91,Oakland,37.816667,-122.333333
16340,2022-12,116,Oakland,37.816667,-122.333333
16740,2022-01,6,Empire,43.4,-124.283333
16740,2022-02,4,Empire,43.4,-124.283333
16740,2022-03,6,Empire,43.4,-124.283333
16740,2022-04,6,Empire,43.4,-124.283333
16740,2022-05,5,Empire,43.4,-124.283333
16740,2022-06,8,Empire,43.4,-124.283333
16740,2022-07,3,Empire,43.4,-124.283333
16740,2022-08,4,Empire,43.4,-124.283333
16740,2022-09,7,Empire,43.4,-124.283333
16740,2022-10,7,Empire,43.4,-124.283333
16740,2022-11,6,Empire,43.4,-124.283333
16740,2022-12,6,Empire,43.4,-124.283333
16940,2022-01,84,Portland,45.516667,-122.666667
16940,2022-02,55,Portland,45.516667,-122.666667
16940,2022-03,66,Portland,45.516667,-122.666667
16940,2022-04,58,Portland,45.516667,-122.666667
16940,2022-05,68,Portland,45.516667,-122.666667
16940,2022-06,61,Portland,45.516667,-122.666667
16940,2022-07,45,Portland,45.516667,-122.666667
16940,2022-08,73,Portland,45.516667,-122.666667
16940,2022-09,58,Portland,45.516667,-122.666667
16940,2022-10,70,Portland,45.516667,-122.666667
16940,2022-11,56,Portland,45.516667,-122.666667
16940,2022-12,57,Portland,45.516667,-122.666667
16950,2022-01,82,Vancouver,45.633333,-122.683333
16950,2022-02,54,Vancouver,45.633333,-122.683333
16950,2022-03,66,Vancouver,45.633333,-122.683333
16950,2022-04,58,Vancouver,45.633333,-122.683333
