WPI_Number,Year,Visit_Count,Main_Port_Name,LAT,LON
16010,2022,279,San Diego,32.716667,-117.183333
16070,2022,3428,Long Beach,33.766667,-118.183333
16080,2022,3433,Los Angeles,33.75,-118.25
16300,2022,1541,San Francisco,37.816667,-122.416667
16340,2022,1540,Oakland,37.816667,-122.333333
16740,2022,79,Empire,43.4,-124.283333
16940,2022,750,Portland,45.516667,-122.666667
16950,2022,752,Vancouver,45.633333,-122.683333
17430,2022,1382,Bremerton,47.566667,-122.65
17700,2022,1389,Tacoma,47.283333,-122.416667
17730,2022,1446,Seattle,47.6,-122.333333
3430,2022,392,Buffalo,42.883333,-78.883333
3490,2022,272,Cleveland,41.5,-81.716667
3560,2022,328,Toledo,41.7,-83.466667
3620,2022,573,Detroit,42.333333,-83.033333
4760,2022,581,Gary,41.616667,-87.333333
4770,2022,582,Buffington,41.633333,-87.416667
4780,2022,587,Indiana Harbor,41.666667,-87.433333
4790,2022,593,Calumet Harbor,41.733333,-87.516667
4800,2022,489,Chicago,41.883333,-87.6
4860,2022,88,Milwaukee,43.033333,-87.883333
4890,2022,6,Manitowoc,44.09222222,-87.64833333
5450,2022,615,Superior,46.733333,-92.066667
5460,2022,618,Duluth,46.766667,-92.1
56090,2022,11,Hilo,19.733333,-155.066667
56280,2022,469,Honolulu,21.3,-157.866667
7150,2022,82,Portland,43.666667,-70.25
7250,2022,225,Boston,42.35,-71.05
7420,2022,276,Providence,41.8,-71.4
7570,2022,134,Bridgeport,41.166667,-73.183333
7630,2022,2934,Brooklyn,40.666667,-74.016667
7640,2022,2921,New York City,40.7,-74.016667
7720,2022,82,Albany,42.65,-73.75
7770,2022,2954,Hoboken,40.75,-74.016667
7780,2022,2924,Jersey City,40.716667,-74.033333
7790,2022,2902,Bayonne,40.683333,-74.1
7810,2022,2874,Newark,40.7,-74.15
7840,2022,2927,Tompkinsville SI,40.633333,-74.066667
8050,2022,844,Wilmington,39.733333,-75.55
8080,2022,1569,Chester,39.85,-75.35
8110,2022,1296,Philadelphia,39.95,-75.133333
8130,2022,1296,Camden,39.95,-75.133333
8210,2022,1770,Baltimore,39.266667,-76.583333
8280,2022,2355,Norfolk,36.85,-76.3
8300,2022,2368,Newport News,36.966667,-76.433333
8470,2022,433,Wilmington,34.233333,-77.95
8530,2022,1875,Savannah,32.083333,-81.083333
8580,2022,1186,Jacksonville,30.316667,-81.65
8630,2022,3844,Port Everglades,26.1,-80.116667
8670,2022,837,Tampa,27.916667,-82.45
8770,2022,1067,Mobile,30.683333,-88.116667
8860,2022,3255,New Orleans,29.95,-90.05
8890,2022,6,Tri-City Port,38.716667,-90.2
8980,2022,602,Loop Terminal,28.883333,-90.016667
9080,2022,503,Port Arthur,29.833333,-93.966667
9140,2022,466,Beaumont,30.083333,-94.083333
9150,2022,2293,Galveston,29.316667,-94.783333
9240,2022,2583,Houston,29.75,-95.283333
9300,2022,289,Corpus Christi,27.816667,-97.4
