WPI_Number,Month,Visit_Count,Main_Port_Name,LAT,LON
16010,2022-01,708,San Diego,32.716667,-117.183333
16010,2022-02,260,San Diego,32.716667,-117.183333
16010,2022-03,217,San Diego,32.716667,-117.183333
16010,2022-04,190,San Diego,32.716667,-117.183333
16010,2022-05,167,San Diego,32.716667,-117.183333
16010,2022-06,206,San Diego,32.716667,-117.183333
16010,2022-07,146,San Diego,32.716667,-117.183333
16010,2022-08,135,San Diego,32.716667,-117.183333
16010,2022-09,137,San Diego,32.716667,-117.183333
16010,2022-10,185,San Diego,32.716667,-117.183333
16010,2022-11,107,San Diego,32.716667,-117.183333
16010,2022-12,77,San Diego,32.716667,-117.183333
16070,2022-01,13808,Long Beach,33.766667,-118.183333
16070,2022-02,7840,Long Beach,33.766667,-118.183333
16070,2022-03,7713,Long Beach,33.766667,-118.183333
16070,2022-04,6286,Long Beach,33.766667,-118.183333
16070,2022-05,7356,Long Beach,33.766667,-118.183333
16070,2022-06,20433,Long Beach,33.766667,-118.183333
16070,2022-07,10795,Long Beach,33.766667,-118.183333
16070,2022-08,5140,Long Beach,33.766667,-118.183333
16070,2022-09,4424,Long Beach,33.766667,-118.183333
16070,2022-10,4581,Long Beach,33.766667,-118.183333
16070,2022-11,3598,Long Beach,33.766667,-118.183333
16070,2022-12,3107,Long Beach,33.766667,-118.183333
16080,2022-01,13914,Los Angeles,33.75,-118.25
16080,2022-02,7907,Los Angeles,33.75,-118.25
16080,2022-03,7747,Los Angeles,33.75,-118.25
16080,2022-04,6313,Los Angeles,33.75,-118.25
16080,2022-05,7406,Los Angeles,33.75,-118.25
16080,2022-06,20480,Los Angeles,33.75,-118.25
16080,2022-07,10844,Los Angeles,33.75,-118.25
16080,2022-08,5153,Los Angeles,33.75,-118.25
16080,2022-09,4448,Los Angeles,33.75,-118.25
16080,2022-10,4610,Los Angeles,33.75,-118.25
16080,2022-11,3616,Los Angeles,33.75,-118.25
16080,2022-12,3110,Los Angeles,33.75,-118.25
16300,2022-01,3515,San Francisco,37.816667,-122.416667
16300,2022-02,3987,San Francisco,37.816667,-122.416667
16300,2022-03,4623,San Francisco,37.816667,-122.416667
16300,2022-04,4944,San Francisco,37.816667,-122.416667
16300,2022-05,6723,San Francisco,37.816667,-122.416667
16300,2022-06,17763,San Francisco,37.816667,-122.416667
16300,2022-07,10083,San Francisco,37.816667,-122.416667
16300,2022-08,5264,San Francisco,37.816667,-122.416667
16300,2022-09,5674,San Francisco,37.816667,-122.416667
16300,2022-10,5760,San Francisco,37.816667,-122.416667
16300,2022-11,4210,San Francisco,37.816667,-122.416667
16300,2022-12,3557,San Francisco,37.816667,-122.416667
16340,2022-01,3480,Oakland,37.816667,-122.333333
16340,2022-02,3968,Oakland,37.816667,-122.333333
16340,2022-03,4602,Oakland,37.816667,-122.333333
16340,2022-04,4932,Oakland,37.816667,-122.333333
16340,2022-05,6695,Oakland,37.816667,-122.333333
16340,2022-06,17688,Oakland,37.816667,-122.333333
16340,2022-07,10023,Oakland,37.816667,-122.333333
16340,2022-08,5245,Oakland,37.816667,-122.333333
16340,2022-09,5645,Oakland,37.816667,-122.333333
16340,2022-10,5738,Oakland,37.816667,-122.333333
16340,2022-11,4198,Oakland,37.816667,-122.333333
16340,2022-12,3541,Oakland,37.816667,-122.333333
16740,2022-01,46,Empire,43.4,-124.283333
16740,2022-02,11,Empire,43.4,-124.283333
16740,2022-03,19,Empire,43.4,-124.283333
16740,2022-04,8,Empire,43.4,-124.283333
16740,2022-05,20,Empire,43.4,-124.283333
16740,2022-06,26,Empire,43.4,-124.283333
16740,2022-07,15,Empire,43.4,-124.283333
16740,2022-08,30,Empire,43.4,-124.283333
16740,2022-09,25,Empire,43.4,-124.283333
16740,2022-10,7,Empire,43.4,-124.283333
16740,2022-11,4,Empire,43.4,-124.283333
16740,2022-12,3,Empire,43.4,-124.283333
16940,2022-01,1847,Portland,45.516667,-122.666667
16940,2022-02,2047,Portland,45.516667,-122.666667
16940,2022-03,1763,Portland,45.516667,-122.666667
16940,2022-04,2006,Portland,45.516667,-122.666667
16940,2022-05,1790,Portland,45.516667,-122.666667
16940,2022-06,1951,Portland,45.516667,-122.666667
16940,2022-07,1417,Portland,45.516667,-122.666667
16940,2022-08,2045,Portland,45.516667,-122.666667
16940,2022-09,1717,Portland,45.516667,-122.666667
16940,2022-10,1659,Portland,45.516667,-122.666667
16940,2022-11,1343,Portland,45.516667,-122.666667
16940,2022-12,1284,Portland,45.516667,-122.666667
16950,2022-01,1870,Vancouver,45.633333,-122.683333
16950,2022-02,2055,Vancouver,45.633333,-122.683333
16950,2022-03,1792,Vancouver,45.633333,-122.683333
16950,2022-04,2017,Vancouver,45.633333,-122.683333
16950,2022-05,1801,Vancouver,45.633333,-122.683333
16950,2022-06,1955,Vancouver,45.633333,-122.683333
16950,2022-07,1425,Vancouver,45.633333,-122.683333
16950,2022-08,2057,Vancouver,45.633333,-122.683333
16950,2022-09,1731,Vancouver,45.633333,-122.683333
16950,2022-10,1671,Vancouver,45.633333,-122.683333
16950,2022-11,1342,Vancouver,45.633333,-122.683333
16950,2022-12,1277,Vancouver,45.633333,-122.683333
17430,2022-01,996,Bremerton,47.566667,-122.65
17430,2022-02,861,Bremerton,47.566667,-122.65
17430,2022-03,698,Bremerton,47.566667,-122.65
17430,2022-04,724,Bremerton,47.566667,-122.65
17430,2022-05,926,Bremerton,47.566667,-122.65
17430,2022-06,1182,Bremerton,47.566667,-122.65
17430,2022-07,1505,Bremerton,47.566667,-122.65
