PORT_NAME,Month,Visit_Count,Main_Port_Name,port_geography
"Albany Port District, NY",2022-01,6,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-02,7,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-03,7,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-04,10,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-05,5,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-06,7,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-07,7,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-08,6,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-09,5,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-10,6,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-11,7,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Albany Port District, NY",2022-12,8,"Albany Port District, NY",POINT(-73.74816 42.64271)
"Alpena, MI",2022-01,2,"Alpena, MI",POINT(-83.42173 45.06197)
"Alpena, MI",2022-04,5,"Alpena, MI",POINT(-83.42173 45.06197)
"Alpena, MI",2022-05,6,"Alpena, MI",POINT(-83.42173 45.06197)
"Alpena, MI",2022-06,6,"Alpena, MI",POINT(-83.42173 45.06197)
"Alpena, MI",2022-07,5,"Alpena, MI",POINT(-83.42173 45.06197)
"Alpena, MI",2022-08,4,"Alpena, MI",POINT(-83.42173 45.06197)
"Alpena, MI",2022-09,8,"Alpena, MI",POINT(-83.42173 45.06197)
"Alpena, MI",2022-10,6,"Alpena, MI",POINT(-83.42173 45.06197)
"Alpena, MI",2022-11,7,"Alpena, MI",POINT(-83.42173 45.06197)
"Alpena, MI",2022-12,7,"Alpena, MI",POINT(-83.42173 45.06197)
"Anacortes, WA",2022-01,31,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-02,21,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-03,24,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-04,33,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-05,28,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-06,33,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-07,34,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-08,31,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-09,23,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-10,35,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-11,28,"Anacortes, WA",POINT(-122.59961 48.49594)
"Anacortes, WA",2022-12,20,"Anacortes, WA",POINT(-122.59961 48.49594)
"Ashtabula Port Authority, OH",2022-01,5,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Ashtabula Port Authority, OH",2022-03,2,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Ashtabula Port Authority, OH",2022-04,4,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Ashtabula Port Authority, OH",2022-05,5,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Ashtabula Port Authority, OH",2022-06,4,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Ashtabula Port Authority, OH",2022-07,5,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Ashtabula Port Authority, OH",2022-08,6,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Ashtabula Port Authority, OH",2022-09,7,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Ashtabula Port Authority, OH",2022-11,2,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Ashtabula Port Authority, OH",2022-12,8,"Ashtabula Port Authority, OH",POINT(-80.79398 41.90369)
"Baltimore, MD",2022-01,150,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-02,135,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-03,148,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-04,143,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-05,149,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-06,148,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-07,140,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-08,153,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-09,137,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-10,141,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-11,126,"Baltimore, MD",POINT(-76.56164 39.25083)
"Baltimore, MD",2022-12,151,"Baltimore, MD",POINT(-76.56164 39.25083)
"Beaumont, TX",2022-01,16,"Beaumont, TX",POINT(-94.09499 30.08487)
"Beaumont, TX",2022-02,7,"Beaumont, TX",POINT(-94.09499 30.08487)
"Beaumont, TX",2022-03,13,"Beaumont, TX",POINT(-94.09499 30.08487)
"Beaumont, TX",2022-04,17,"Beaumont, TX",POINT(-94.09499 30.08487)
"Beaumont, TX",2022-05,13,"Beaumont, TX",POINT(-94.09499 30.08487)
"Beaumont, TX",2022-06,13,"Beaumont, TX",POINT(-94.09499 30.08487)
"Beaumont, TX",2022-07,15,"Beaumont, TX",POINT(-94.09499 30.08487)
"Beaumont, TX",2022-08,15,"Beaumont, TX",POINT(-94.09499 30.08487)
"Beaumont, TX",2022-09,11,"Beaumont, TX",POINT(-94.09499 30.08487)
"Beaumont, TX",2022-10,18,"Beaumont, TX",POINT(-94.09499 30.08487)
