IMO NUMBER,Vessel Name,Ship Type,Gross Tons,Deadweight Tons,Year of Build,Operator,MSP,VISA,VTA,Jones Act Eligible,Militarily Useful
9244661,ALASKAN EXPLORER,Tanker,"110,693","193,049",2005,Alaska Tanker Co LLC,N,N,N,Y,N
9244659,ALASKAN FRONTIER,Tanker,"110,693","193,049",2004,Alaska Tanker Co LLC,N,N,N,Y,N
9271432,ALASKAN LEGEND,Tanker,"110,693","193,048",2006,Alaska Tanker Co LLC,N,N,N,Y,N
9244673,ALASKAN NAVIGATOR,Tanker,"110,693","193,048",2005,Alaska Tanker Co LLC,N,N,N,Y,N
9303546,ALLIANCE FAIRFAX,Ro-Ro,"59,705","19,670",2005,Hoegh Autoliners Management AS,Y,Y,N,N,Y
9332547,ALLIANCE NORFOLK,Ro-Ro,"57,280","21,179",2007,Farrell Lines Incorporated,Y,Y,N,N,Y
9285500,ALLIANCE ST. LOUIS,Ro-Ro,"57,280","21,081",2005,Farrell Lines Incorporated,Y,Y,N,N,Y
9759886,AMERICAN ENDURANCE,Tanker,"29,801","49,828",2016,American Petroleum Tankers LLC,N,N,N,Y,Y
9759898,AMERICAN FREEDOM,Tanker,"29,801","49,828",2017,Crowley Petroleum Services Inc,N,N,N,Y,Y
9763851,AMERICAN LIBERTY,Tanker,"29,801","49,828",2017,American Petroleum Tankers LLC,N,N,N,Y,Y
9564578,AMERICAN PHOENIX,Tanker,"30,718","49,035",2012,Seabulk Tankers Inc,N,N,N,Y,Y
9763863,AMERICAN PRIDE,Tanker,"29,801","49,828",2017,Crowley Petroleum Services Inc,N,N,N,Y,Y
9239874,APL GULF EXPRESS,Containership,"16,916","20,944",2002,"APL Marine Services, Ltd.",Y,Y,N,N,Y
9505039,ARC COMMITMENT,Vehicles Carrier,"74,255","31,143",2011,ARC Commitment Trust,Y,Y,N,N,Y
9375264,ARC DEFENDER,Vehicles Carrier,"61,328","22,144",2008,American Roll-on Roll-off,Y,Y,N,N,Y
9332925,ARC INDEPENDENCE,Vehicles Carrier,"71,583","30,200",2007,American Roll-on Roll-off,Y,Y,N,N,Y
9332949,ARC INTEGRITY,Vehicles Carrier,"71,583","30,386",2008,American Roll-on Roll-off,Y,Y,N,N,Y
9316141,ARC RESOLVE,Vehicles Carrier,"60,942","22,564",2006,American Roll-on Roll-off,Y,Y,N,N,Y
9698018,BAY STATE,Tanker,"29,923","49,130",2016,American Petroleum Tankers LLC,N,N,N,Y,Y
9144926,BRENTON REEF,Tanker,"30,770","45,656",1999,Seabulk Tankers Inc,N,N,N,Y,Y
9642095,CALIFORNIA,Tanker,"62,318","114,756",2015,Crowley Alaska Tankers LLC,N,N,N,Y,N
9710206,CALIFORNIA VOYAGER,Tanker,"29,923","49,160",2016,Chevron Shipping Co LLC,N,N,N,Y,Y
9123037,CAPT DAVID I LYON,Containership,"16,856","22,878",1996,Sealift Inc,N,Y,N,N,Y
9436070,CMA CGM DAKAR,Containership,"18,485","23,695",2010,"APL Marine Services, Ltd.",Y,Y,N,N,Y
9360142,CMA CGM HERODOTE,Containership,"17,594","21,257",2007,"APL Marine Services, Ltd.",Y,Y,N,N,Y
9010498,COASTAL NAVIGATOR,General Cargo,"1,904","1,500",1991,Coastal Transportation Inc,N,N,N,Y,N
8213249,COASTAL NOMAD,General Cargo,"1,920","1,200",1983,Coastal Transportation Inc,N,N,N,Y,N
8855463,COASTAL PROGRESS,General Cargo,"1,920","2,133",1988,Coastal Transportation Inc,N,N,N,Y,N
9782493,COASTAL STANDARD,General Cargo,"2,451","2,565",2016,Coastal Transportation Inc,N,N,N,Y,Y
5408491,COASTAL TRADER,General Cargo,"1,823","1,825",1963,Coastal Transportation Inc,N,N,N,Y,N
9349502,COLORADO EXPRESS,Containership,"75,579","85,614",2008,"Hapag-Lloyd USA, LLC",Y,Y,N,N,Y
9719056,DANIEL K. INOUYE,Containership,"48,409","51,400",2018,Matson Navigation Co Inc,N,Y,N,Y,Y
9349514,DELAWARE EXPRESS,Containership,"75,579","85,517",1981,"Hapag-Lloyd USA, LLC",Y,Y,N,N,Y
9010486,EASTERN WIND,General Cargo,"1,495","1,500",1990,Trident Seafoods Corp,N,N,N,Y,N
9721968,EL COQUI,Containership,"37,462","26,410",2018,Crowley Liner Services Inc,N,Y,N,Y,Y
9408126,EMPIRE STATE,Tanker,"29,527","48,635",2010,Crowley Petroleum Services Inc,N,N,N,Y,Y
9121273,ENDURANCE,Ro-Ro,"72,708","48,988",1996,Fidelio Limited Partnership,Y,Y,N,N,Y
9408138,EVERGREEN STATE,Tanker,"29,606","48,641",2010,Crowley Petroleum Services Inc,N,N,N,Y,Y
9568469,FLORIDA,Tanker,"29,242","46,696",2013,Crowley Petroleum Services Inc,N,N,N,Y,Y
9698006,GARDEN STATE,Tanker,"29,923","49,172",2016,American Petroleum Tankers LLC,N,N,N,Y,Y
9837092,GEORGE III,Containership,"45,645","43,527",2022,Pasha Hawaii Holdings LLC,N,Y,N,Y,Y
7710733,GEYSIR,General Cargo,"2,266","2,000",1980,Marco Marine LLC,N,N,N,Y,Y
9407562,GOLDEN STATE,Tanker,"29,527","48,632",2009,Crowley Petroleum Services Inc,N,N,N,Y,Y
9339818,GREEN BAY,Ro-Ro,"59,250","18,312",2007,American Petroleum Tankers LLC,Y,Y,N,N,Y
9181560,GREEN COVE,Ro-Ro,"57,566","22,747",1999,American Petroleum Tankers LLC,Y,Y,N,N,Y
9158288,GREEN LAKE,Ro-Ro,"57,623","22,799",1998,American Petroleum Tankers LLC,Y,Y,N,N,Y
9177428,GREEN RIDGE,Ro-Ro,"57,449","21,523",1998,American Petroleum Tankers LLC,Y,Y,N,N,Y
9561148,HAINA PATRIOT,Tanker,"4,047","6,765",2011,Haina Patriot LLC,N,N,N,N,N
7617905,HORIZON ENTERPRISE,Containership,"28,219","31,423",1980,Pasha Hawaii Holdings LLC,N,Y,N,Y,Y
7617890,HORIZON PACIFIC,Containership,"28,219","31,213",1979,Pasha Hawaii Holdings LLC,N,Y,N,Y,Y
7729459,HORIZON SPIRIT,Containership,"34,077","46,154",1980,Pasha Hawaii Holdings LLC,N,Y,N,Y,Y
9040534,HOS STRONGLINE,Tanker,"5,984","4,938",1992,Hornbeck Offshore Trans LLC,N,N,N,Y,N
9349564,HUDSON EXPRESS,Containership,"75,579","85,326",2008,"Hapag-Lloyd USA, LLC",Y,Y,N,N,Y
9710191,INDEPENDENCE,Tanker,"29,923","49,181",2016,Seabulk Tankers Inc,N,N,N,Y,Y
9680841,ISLA BELLA,Containership,"36,751","33,106",2015,TOTE Puerto Rico,N,Y,N,Y,Y
9233167,JEAN ANNE,Ro-Ro,"37,548","12,561",2005,Pasha Hawaii Holdings LLC,N,Y,N,Y,Y
9719068,KAIMANA HILA,Containership,"48,409","51,400",2019,Matson Navigation Co Inc,N,Y,N,Y,Y
9232979,KAMOKUIKI,Containership,"6,368","8,627",2000,Matson Navigation Co Inc,N,Y,N,N,Y
9310109,LIBERTY,Ro-Ro,"61,321","19,628",2006,Fidelio Limited Partnership,Y,Y,N,N,Y
9278753,LIBERTY EAGLE,Dry Bulk,"28,762","51,812",2004,Liberty Maritime Corp,N,Y,N,N,N
9228136,LIBERTY GLORY,Dry Bulk,"28,836","50,601",2001,Liberty Maritime Corp,N,Y,N,N,N
9228148,LIBERTY GRACE,Dry Bulk,"28,836","50,601",2001,Liberty Maritime Corp,N,Y,N,N,N
9777888,LIBERTY PASSION,Ro-Ro,"58,107","20,352",2017,Liberty Maritime Corp,Y,Y,N,N,Y
9777890,LIBERTY PEACE,Ro-Ro,"58,107","20,397",2017,Liberty Maritime Corp,N,Y,N,N,Y
9448114,LIBERTY PRIDE,Ro-Ro,"57,030","21,233",2009,Liberty Maritime Corp,Y,Y,N,N,Y
9448425,LIBERTY PROMISE,Ro-Ro,"57,030","21,359",2010,Liberty Maritime Corp,Y,Y,N,N,Y
9697985,LONE STAR STATE,Tanker,"29,923","49,151",2015,American Petroleum Tankers LLC,N,N,N,Y,Y
9704790,LOUISIANA,Tanker,"29,801","49,828",2016,Crowley Petroleum Services Inc,N,N,N,Y,Y
9215660,LTC JOHN U.D. PAGE,Containership,"40,085","51,101",2001,Sealift Inc,N,Y,N,N,Y
9814600,LURLINE,Containership,"59,522","44,200",2019,Matson Navigation Co Inc,N,Y,N,Y,Y
9348649,MAERSK ATLANTA,Containership,"74,642","84,705",2006,Maersk A/S,Y,Y,N,N,Y
9356074,MAERSK CHESAPEAKE,Containership,"25,904","35,119",2008,Safmarine Container Lines,Y,Y,N,N,Y
9332975,MAERSK CHICAGO,Containership,"74,642","84,775",2007,Maersk A/S,Y,Y,N,N,Y
9332987,MAERSK COLUMBUS,Containership,"74,642","84,704",2007,Maersk A/S,Y,Y,N,N,Y
9332999,MAERSK DENVER,Containership,"74,642","84,771",2007,Maersk A/S,Y,Y,N,N,Y
