Date,POLA Vessels at Anchor,POLA Vessels at Berth,POLA Vessels Departed,Average Days at Berth,Average Days at ANC + Berth
1/3/2022,4,17,5,9,12
1/4/2022,5,16,2,11.5,13.5
1/5/2022,4,18,2,11,11
1/6/2022,4,19,0,0,0
1/7/2022,2,17,4,7,32
1/10/2022,6,14,9,6.88,10.22
1/11/2022,5,18,3,4.66,4.66
1/12/2022,4,17,1,9,9
1/13/2022,3,18,1,3,3
1/14/2022,11,16,2,5,5
1/18/2022,5,17,3,8.6,8.6
1/19/2022,4,18,2,4,10
1/20/2022,4,16,2,8,8
1/21/2022,4,15,4,8.5,8.7
1/24/2022,6,15,6,7.5,10.33
1/25/2022,4,15,3,4,4
1/26/2022,3,15,2,5.5,5.5
1/27/2022,1,15,2,3,10
1/28/2022,1,19,0,0,0
1/31/2022,0,16,12,6,6.5
2/1/2022,0,16,3,10.66,11
2/2/2022,1,17,4,4.75,9
2/3/2022,0,16,3,2.33,3.66
2/4/2022,0,16,3,5,5.66
2/7/2022,2,18,5,5,5.6
2/8/2022,1,15,4,5.75,5.75
2/9/2022,1,18,2,3.5,4.5
2/10/2022,2,17,3,7.33,7.33
2/11/2022,2,15,6,5.83,5.83
2/14/2022,2,16,7,5.85,6.57
2/15/2022,3,17,0,0,0
2/16/2022,5,17,3,8,8.33
2/17/2022,3,19,4,5.5,5.5
2/18/2022,4,17,2,3.5,7.5
2/22/2022,4,14,12,6.75,7.25
2/23/2022,4,18,1,6,6
2/24/2022,3,15,6,4,4
2/25/2022,4,16,1,6,6
2/28/2022,2,14,10,5.3,5.3
3/1/2022,3,14,0,0,0
3/2/2022,1,14,3,6.3,7.3
3/3/2022,2,14,3,4.3,4.3
3/4/2022,1,18,4,5.5,5.5
3/7/2022,1,15,8,6.375,6.375
3/8/2022,3,13,2,3,3
3/9/2022,2,13,2,3,3
3/10/2022,3,14,1,5,5
3/11/2022,1,13,7,6.71,8.28
3/14/2022,2,13,7,5.7,7.5
3/15/2022,3,13,3,4,4
3/16/2022,2,14,0,0,0
3/17/2022,1,15,1,4,4
3/18/2022,2,13,5,6,6
3/21/2022,1,14,8,5.875,6.375
3/22/2022,2,14,4,6.25,6.25
3/23/2022,2,15,2,4,4.5
3/24/2022,1,15,4,4.75,4.75
3/25/2022,2,15,1,5,5
3/29/2022,3,16,7,5.714,5.857
3/30/2022,1,17,1,8,8
3/31/2022,2,18,3,6,8
4/1/2022,2,16,4,5.5,5.5
4/4/2022,1,13,10,6.8,7.5
4/5/2022,3,14,2,9,11
4/6/2022,2,14,2,2,2
4/7/2022,2,14,2,7,7
4/8/2022,2,15,1,5,5
