OBJECTID,ID,LENGTH,DIR,LINKNUM,ANODE,BNODE,LINKNAME,RIVERNAME,AMILE,BMILE,LENGTH1,LENGTH_SRC,SHAPE_SRC,LINKTYPE,CTRL_DEPTH,WATERWAY,GEO_CLASS,FUNC_CLASS,WTWY_TYPE,CHART_ID,NUM_PAIRS,WHO_MOD,DATE_MOD,HEADING,STATE,FIPS,FIPS2,NON_US,SE_ANNO_CAD_DATA,KEY_ID,WTWY_UNIQ,MIN_MEAS,MAX_MEAS,SHAPE_Length
1,328479,7.065946,0,428800,15760,15750,"CAPE MAY, NJ",ATLANTIC DEEP WATER ACCESS,2,0,7.07000017,V,JR,CORPS,17,1330,O,U,5,12214,2,V A,01201997,E,NJ,34,00, ,,428800_1330-R2-1000,1330-R2-1000,0,6.73304957,0.125885008499461
2,309064,4.727379,0,444100,17410,17350,"WYE RIVER, MD",WYE RIVER,10,0,4.73000002,V,JR,CORPS,5,414,I,S,6,12263,4,R, ,S,MD,24,00, ,,444100_414-R2-1,414-R2-1,0,5.27593264,0.0852090318636131
3,362207,10.342052,0,284600,2830,2840,"MIDDLE BAY, ME",MIDDLE BAY,0,0,10.34000015,V,JR,CORPS,6,1292,I,B,1,13290,4,R, ,S,ME,23,00, ,,284600_1292-R2-1000,1292-R2-1000,0,10.19144798,0.16552351527774
4,343347,2.503911,0,294400,12600,12560,"FISCHERS IS, NY HAY HARBOR",BLOCK ISLAND SOUND,2,0,2.5,V,JR,CORPS,100,1193,I,B,1,13205,2,V A,02131997,W,NY,36,00, ,,294400_1193-R2-1000,1193-R2-1000,0,2.39581708,0.0450818222176655
5,336112,2.409083,0,420500,15200,15160,"GLEN COVE CREEK, NY",GLEN COVE CREEK,2,0,2.41000009,V,DD,CORPS,8,215,I,S,6,0,5,H,08021996,W,NY,36,00, ,,420500_215-R2-1000,215-R2-1000,0,2.33231915,0.041123230673274
6,367152,6.667446,0,250600,35600,35590,"CRIEHAVEN HARBOR, ME",CRIEHAVEN HARBOR,0,0,6.67000008,V,JR,CORPS,100,1106,O,U,5,13302,3,V A,09132007,S,ME,23,00, ,,250600_1106-R2-1000,1106-R2-1000,0,6.59808211,0.103159847399005
7,155858,9.71995,0,332200,4880,4710,"IW, CALOOSAHATCHEE R-ANCLOTE R,FLA",GULF INTRACOASTAL WATERWAY,85,75,9.72000027,V,JR,CORPS,9,2062,I,S,2,11420,3,V,12121997,S,FL,12,00, ,,332200_2062-R2-1001,2062-R2-1001,0,9.5845,0.148554854110373
8,329556,3.014457,0,425400,15480,15500,"BRIGANTINE INLET, NJ",BRIGANTINE INLET,2,0,3.00999999,V,JR,CORPS,12,280,I,U,8,12300,4,V,03081995,E,NJ,34,00, ,,425400_280-R2-1,280-R2-1,0,3.03873542,0.05684520378316
9,334410,6.565748,0,433400,14300,15250,ATLANTIC OCEAN - OFF PHILA DIST CS,ATLANTIC DEEP WATER SPUR,0,0,6.57000017,V,JR,CORPS,20,1884,O,U,5,12300,2,V A,01201997,W,XX,99,00,AT,,433400_1884-R2-1000,1884-R2-1000,0,6.21098463,0.121270800552527
10,293817,2.466031,0,463900,19320,19340,CHESAPEAKE BAY MD AND VA,CHESAPEAKE BAY,35,32,2.47000003,V,JR,CORPS,50,400,I,B,1,12220,2,R,12121997,S,VA,51,00, ,,463900_400-R2-1,400-R2-1,7.7592,10.2214,0.0360413172853994
