X,Y,OBJECTID,ID,PORT_NAME,IMPORTS,EXPORTS,DOMESTIC,SE_ANNO_CAD_DATA,PORT,TYPE,LATITUDE1,LONGITUDE1,RANK,TOTAL,FOREIGN_
-156.4728,20.8986100000001,1,230,"Kahului, Maui, HI",38238,0,3054445,,4410,C,20.89861,-156.4728,91,3092683,38238
-155.827966,20.035154,2,242,"Kawaihae, Hawai'i, HI",0,0,1969829,,4405,C,20.03515,-155.82797,114,1969829,0
-159.352319,21.952484,3,334,"Nawiliwili, Kaua'i, HI",12726,0,1776755,,4431,C,21.95248,-159.35232,122,1789481,12726
-158.113683,21.323066,4,235,"Kalaeloa Barbers Point, HI",4924376,155460,2411595,,4458,C,21.32307,-158.11368,61,7491431,5079836
-157.8717,21.31111,5,199,"Honolulu, O'ahu, HI",619948,216976,11424582,,4420,C,21.31111,-157.8717,45,12261506,836924
-155.054778,19.7306160000001,6,194,"Hilo, Hawai'i, HI",18459,0,1906206,,4400,C,19.73062,-155.05478,116,1924665,18459
-166.549916,53.894185,7,579,"Unalaska Island, AK",391570,582994,266339,,4947,C,53.89419,-166.54992,141,1240903,974564
-151.3144,60.7479300000001,8,355,"Nikiski, AK",344972,18713,2471028,,4831,C,60.74793,-151.3144,96,2834713,363685
-149.895,61.23778,9,434,"Port of Alaska, AK",1340710,0,1701901,,4820,C,61.23778,-149.895,92,3042611,1340710
-146.3464,61.1247300000001,10,582,"Valdez, AK",0,2093485,23019746,,4816,C,61.12473,-146.3464,25,25113231,2093485
-164.52689,67.7267660000001,11,252,"Kivalina, AK",16240,0,1131586,,4978,C,67.72677,-164.52689,144,1147826,16240
-117.1784,32.7082100000001,12,499,"San Diego Unified Port, CA",1211912,22102,308370,,4100,C,32.70821,-117.1784,133,1542384,1234014
-122.214012,37.5053600000001,13,478,"Redwood City, CA",1676157,212849,45352,,4340,C,37.50536,-122.21401,115,1934358,1889006
-122.399042,37.8066650000001,14,500,"San Francisco Port, CA",1040321,38760,1109600,,4335,C,37.80667,-122.39904,107,2188681,1079081
-122.3081,37.8215200000001,15,451,"Port of Oakland, CA",8520142,9605785,1313835,,4344,C,37.82152,-122.3081,36,19439762,18125927
-122.374233,37.9242370000001,16,479,"Richmond, CA",11494554,3278649,6277538,,4350,C,37.92424,-122.37423,32,21050741,14773203
-119.208475,34.148244,17,381,"Oxnard Harbor District, CA",1706547,122459,15176,,4150,C,34.14824,-119.20848,118,1844182,1829006
-118.268099,33.726635,18,449,"Port of Los Angeles, CA",38658365,16292409,4501365,,4120,C,33.72664,-118.2681,9,59452139,54950774
-118.2095,33.7395700000001,19,447,"Port of Long Beach, CA",46552104,19135630,13490353,,4110,C,33.73957,-118.2095,6,79178087,65687734
-121.3156,37.9527,20,551,"Stockton, CA",3215758,1397500,0,,4270,C,37.9527,-121.3156,78,4613258,4613258
-121.541541,38.5613230000001,21,494,"Sacramento-Yolo Port, CA",965585,234599,0,,4240,C,38.56132,-121.54154,143,1200184,1200184
-124.2095,43.3635100000001,22,110,"Coos Bay OR, Port of",184643,1608052,42829,,4660,C,43.36351,-124.2095,119,1835524,1792695
-122.86686,46.026596,23,446,"Port of Kalama, WA",328888,16418582,1393416,,4626,C,46.0266,-122.86686,37,18140886,16747470
-122.6653,45.4788100000001,24,455,"Port of Portland, OR",2218431,12096570,6391344,,4644,C,45.47881,-122.6653,33,20706345,14315001
-122.6806,45.62244,25,460,"Port of Vancouver USA, WA",1128602,6512062,2557938,,4636,C,45.62244,-122.6806,48,10198602,7640664
-124.176146,46.9041560000001,26,165,"Grays Harbor Port District, WA",116632,2736883,56430,,4702,C,46.90416,-124.17615,93,2909945,2853515
-122.914,46.1422200000001,27,448,"Port of Longview, WA",338172,9587780,1145333,,4622,C,46.14222,-122.914,47,11071285,9925952
-122.4515,47.28966,28,559,"Tacoma, WA",5794811,11593404,4186844,,4720,C,47.28966,-122.4515,31,21575059,17388215
-122.359218,47.5877110000001,29,513,"Seattle, WA",9098134,9051640,4814772,,4722,C,47.58771,-122.35922,30,22964546,18149774
-122.2294,47.9847600000001,30,144,"Everett, WA",250015,32087,1001492,,4725,C,47.98476,-122.2294,139,1283594,282102
-122.59961,48.4959430000001,31,18,"Anacortes, WA",255420,1031669,5701201,,4730,C,48.49594,-122.59961,65,6988290,1287089
-97.5971049999999,26.2019760000001,32,444,"Port of Harlingen Authority, TX",0,0,1658124,,2402,C,26.20198,-97.59711,127,1658124,0
-97.398138,25.9522010000001,33,62,"Brownsville, TX",3696342,308554,2777097,,2420,C,25.9522,-97.39814,66,6781993,4004896
-97.39789,27.8127700000001,34,114,"Corpus Christi, TX",17606086,108093092,25056307,,2423,C,27.81277,-97.39789,3,150755485,125699178
-96.97247,28.69131,35,586,"Victoria, TX",0,0,2032848,,2399,C,28.69131,-96.97247,111,2032848,0
