"Port","Time","Containerized Vessel SWT (Gen) (kg)","Vessel SWT (Gen) (kg)"
"Anchorage, AK (District)","January 2022","246,762","190,021,064"
"Anchorage, AK (District)","February 2022","144,576","142,785,370"
"Anchorage, AK (District)","March 2022","627,978","150,211,705"
"Anchorage, AK (District)","April 2022","487,994","125,241,701"
"Anchorage, AK (District)","May 2022","183,499","286,169,574"
"Anchorage, AK (District)","June 2022","286,101","153,990,257"
"Anchorage, AK (District)","July 2022","471,839","276,494,679"
"Anchorage, AK (District)","August 2022","597,575","279,302,201"
"Anchorage, AK (District)","September 2022","137,091","185,083,854"
"Anchorage, AK (District)","October 2022","599,536","187,488,415"
"Anchorage, AK (District)","November 2022","165,648","120,038,670"
"Anchorage, AK (District)","December 2022","11,693,727","112,394,046"
"Baltimore, MD (District)","January 2022","485,704,346","1,041,744,828"
"Baltimore, MD (District)","February 2022","444,765,834","1,055,876,526"
"Baltimore, MD (District)","March 2022","565,195,240","1,099,140,347"
"Baltimore, MD (District)","April 2022","454,581,966","1,170,086,119"
"Baltimore, MD (District)","May 2022","535,873,658","1,291,930,739"
"Baltimore, MD (District)","June 2022","563,993,778","1,370,102,791"
"Baltimore, MD (District)","July 2022","579,362,581","1,079,430,736"
"Baltimore, MD (District)","August 2022","564,300,743","1,376,654,450"
"Baltimore, MD (District)","September 2022","432,642,567","1,250,290,803"
"Baltimore, MD (District)","October 2022","585,173,344","1,203,888,836"
"Baltimore, MD (District)","November 2022","453,019,781","1,020,085,560"
"Baltimore, MD (District)","December 2022","476,991,444","1,205,655,833"
"Boston, MA (District)","January 2022","48,220,059","1,185,888,104"
"Boston, MA (District)","February 2022","41,643,518","1,216,131,657"
"Boston, MA (District)","March 2022","59,686,457","1,184,424,495"
"Boston, MA (District)","April 2022","63,160,870","837,891,836"
"Boston, MA (District)","May 2022","56,200,169","966,651,506"
"Boston, MA (District)","June 2022","74,619,807","850,272,523"
"Boston, MA (District)","July 2022","90,709,835","782,500,174"
"Boston, MA (District)","August 2022","77,528,524","799,088,090"
"Boston, MA (District)","September 2022","66,219,452","833,087,358"
"Boston, MA (District)","October 2022","101,216,403","702,927,483"
"Boston, MA (District)","November 2022","84,330,110","892,515,976"
"Boston, MA (District)","December 2022","75,155,722","1,233,267,130"
"Buffalo, NY (District)","January 2022","989,877","37,219,802"
"Buffalo, NY (District)","February 2022","1,257,038","1,466,808"
"Buffalo, NY (District)","March 2022","2,653,443","2,865,168"
"Buffalo, NY (District)","April 2022","2,077,534","94,093,471"
"Buffalo, NY (District)","May 2022","4,664,099","61,979,986"
