Date,Week,Month,Year,Lock,Direction,Type,Barge Count
06/27/2020,26,6,2020,Ark Lock 1,Down,Empty,9
06/27/2020,26,6,2020,Ark Lock 1,Down,"Grain, Loaded",26
06/27/2020,26,6,2020,Ark Lock 1,Down,"Non-Grain, Loaded",11
06/27/2020,26,6,2020,Ark Lock 1,Up,Empty,3
06/27/2020,26,6,2020,Ark Lock 1,Up,Loaded,50
06/27/2020,26,6,2020,Miss Locks 27,Down,Empty,66
06/27/2020,26,6,2020,Miss Locks 27,Down,"Grain, Loaded",521
06/27/2020,26,6,2020,Miss Locks 27,Down,"Non-Grain, Loaded",153
06/27/2020,26,6,2020,Miss Locks 27,Up,Empty,410
06/27/2020,26,6,2020,Miss Locks 27,Up,Loaded,184
06/27/2020,26,6,2020,Ohio Olmsted,Down,Empty,249
06/27/2020,26,6,2020,Ohio Olmsted,Down,"Grain, Loaded",20
06/27/2020,26,6,2020,Ohio Olmsted,Down,"Non-Grain, Loaded",256
06/27/2020,26,6,2020,Ohio Olmsted,Up,Empty,257
06/27/2020,26,6,2020,Ohio Olmsted,Up,Loaded,309
07/04/2020,27,7,2020,Ark Lock 1,Down,Empty,17
07/04/2020,27,7,2020,Ark Lock 1,Down,"Grain, Loaded",66
07/04/2020,27,7,2020,Ark Lock 1,Down,"Non-Grain, Loaded",21
07/04/2020,27,7,2020,Ark Lock 1,Up,Empty,10
07/04/2020,27,7,2020,Ark Lock 1,Up,Loaded,50
07/04/2020,27,7,2020,Miss Locks 27,Down,Empty,19
07/04/2020,27,7,2020,Miss Locks 27,Down,"Grain, Loaded",302
07/04/2020,27,7,2020,Miss Locks 27,Down,"Non-Grain, Loaded",114
07/04/2020,27,7,2020,Miss Locks 27,Up,Empty,396
07/04/2020,27,7,2020,Miss Locks 27,Up,Loaded,130
07/04/2020,27,7,2020,Ohio Olmsted,Down,Empty,226
07/04/2020,27,7,2020,Ohio Olmsted,Down,"Grain, Loaded",52
07/04/2020,27,7,2020,Ohio Olmsted,Down,"Non-Grain, Loaded",317
07/04/2020,27,7,2020,Ohio Olmsted,Up,Empty,133
07/04/2020,27,7,2020,Ohio Olmsted,Up,Loaded,301
07/11/2020,28,7,2020,Ark Lock 1,Down,Empty,15
07/11/2020,28,7,2020,Ark Lock 1,Down,"Grain, Loaded",27
07/11/2020,28,7,2020,Ark Lock 1,Down,"Non-Grain, Loaded",12
07/11/2020,28,7,2020,Ark Lock 1,Up,Empty,3
07/11/2020,28,7,2020,Ark Lock 1,Up,Loaded,41
07/11/2020,28,7,2020,Miss Locks 27,Down,Empty,42
07/11/2020,28,7,2020,Miss Locks 27,Down,"Grain, Loaded",448
07/11/2020,28,7,2020,Miss Locks 27,Down,"Non-Grain, Loaded",104
07/11/2020,28,7,2020,Miss Locks 27,Up,Empty,477
07/11/2020,28,7,2020,Miss Locks 27,Up,Loaded,133
07/11/2020,28,7,2020,Ohio Olmsted,Down,Empty,137
07/11/2020,28,7,2020,Ohio Olmsted,Down,"Grain, Loaded",70
07/11/2020,28,7,2020,Ohio Olmsted,Down,"Non-Grain, Loaded",186
07/11/2020,28,7,2020,Ohio Olmsted,Up,Empty,173
07/11/2020,28,7,2020,Ohio Olmsted,Up,Loaded,309
07/18/2020,29,7,2020,Ark Lock 1,Down,Empty,4
07/18/2020,29,7,2020,Ark Lock 1,Down,"Grain, Loaded",49
07/18/2020,29,7,2020,Ark Lock 1,Down,"Non-Grain, Loaded",10
07/18/2020,29,7,2020,Ark Lock 1,Up,Empty,6
07/18/2020,29,7,2020,Ark Lock 1,Up,Loaded,25
07/18/2020,29,7,2020,Miss Locks 27,Down,Empty,18
07/18/2020,29,7,2020,Miss Locks 27,Down,"Grain, Loaded",379
07/18/2020,29,7,2020,Miss Locks 27,Down,"Non-Grain, Loaded",130
07/18/2020,29,7,2020,Miss Locks 27,Up,Empty,396
07/18/2020,29,7,2020,Miss Locks 27,Up,Loaded,110
07/18/2020,29,7,2020,Ohio Olmsted,Down,Empty,189
07/18/2020,29,7,2020,Ohio Olmsted,Down,"Grain, Loaded",51
07/18/2020,29,7,2020,Ohio Olmsted,Down,"Non-Grain, Loaded",267
07/18/2020,29,7,2020,Ohio Olmsted,Up,Empty,188
07/18/2020,29,7,2020,Ohio Olmsted,Up,Loaded,335
08/29/2020,35,8,2020,Ark Lock 1,Down,Empty,0
08/29/2020,35,8,2020,Ark Lock 1,Down,"Grain, Loaded",26
08/29/2020,35,8,2020,Ark Lock 1,Down,"Non-Grain, Loaded",1
08/29/2020,35,8,2020,Ark Lock 1,Up,Empty,2
08/29/2020,35,8,2020,Ark Lock 1,Up,Loaded,27
08/29/2020,35,8,2020,Miss Locks 27,Down,Empty,17
08/29/2020,35,8,2020,Miss Locks 27,Down,"Grain, Loaded",400
08/29/2020,35,8,2020,Miss Locks 27,Down,"Non-Grain, Loaded",146
08/29/2020,35,8,2020,Miss Locks 27,Up,Empty,314
08/29/2020,35,8,2020,Miss Locks 27,Up,Loaded,151
08/29/2020,35,8,2020,Ohio Olmsted,Down,Empty,196
08/29/2020,35,8,2020,Ohio Olmsted,Down,"Grain, Loaded",55
08/29/2020,35,8,2020,Ohio Olmsted,Down,"Non-Grain, Loaded",254
08/29/2020,35,8,2020,Ohio Olmsted,Up,Empty,197
08/29/2020,35,8,2020,Ohio Olmsted,Up,Loaded,250
09/05/2020,36,9,2020,Ark Lock 1,Down,Empty,11
